slug,aroma,acid_or_milk,body,flavor,type_with_milk,clean_text,roast_dark,roast_light,roast_medium,roast_medium_dark,roast_medium_light,roast_very_dark,roast_nan,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,type_with_milk
panama-ninety-plus-perci-lot-50,10.0,9.0,10.0,10.0,0,wild unruli utterli brilliant origin intens intric floral tone opul lili delic violet shift bouquet possibl heart aroma flavor cideri brandyish compot fruit appl passion fruit lyche round fine cocoa tone chocol structur shifti simultan sweet crispli bitterish tart mouthfeel plump syrupi finish ring continu layer fruit flower cocoa coconut grand floral cocoa complex gesha varieti amplifi innov process method turn mouthfeel big buoyant fruit lush intens giddili brandi tone,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
colombia-sidra,9.0,8.0,9.0,9.0,0,floral tone richli sweet narcissu roast cacao nib toffe apricot sandalwood aroma deepli sweet tart structur juici bright acid full syrupi mouthfeel reson finish center around cocoa tone narcissu apricot engag coffe unusu sidra varieti rich floral balanc bright,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
colombia-geisha-2,9.0,8.0,9.0,9.0,0,deep richli sweet savori black currant fine musk toffe jasmin celeri seed aroma sweet savori structur bright juici acid plush syrupi mouthfeel flavor satur finish equal part sweet lean black currant toffe jasmin savori musk celeri seed splendid colombia geisha deep floral fruit tone juxtapos underli umami intrigu,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
select-reserve-guatemala-el-aceituno-el-bonito-microlot,8.0,8.0,8.0,9.0,0,richli sweet spice tone cocoa powder cinnamon oak lili lemongrass aroma sweet structur gentl round acid full velveti mouthfeel finish center cocoa lili like flower hint lemongrass resonantli sweet guatemala note warm spice cocoa powder throughout,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
foothills-series-hambela-ethiopia,8.0,8.0,8.0,9.0,0,fruit tone richli sweet strawberri dark chocol nutmeg grapefruit zest fresh cut fir aroma sweet tone structur round gentl acid satini smooth mouthfeel gentli dri finish center around fresh cut fir strawberri nutmeg suggest fruit forward natur process ethiopia throughlin sweet aromat wood note,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ethiopia-gugi,9.0,8.0,9.0,9.0,0,fruit tone richli chocolati dark chocol dri blueberri freesia like flower honey cedar aroma sweet tart structur round gentl acid full syrupi mouthfeel finish consolid blueberri chocol note hint cedar cleanli crisp yet plushli fruit tone natur process ethiopia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kenya-murunga-new-gatanga-fcs-mukurwe-factory-ab,9.0,8.0,9.0,9.0,0,richli spice tone deepli sweet dri apricot molass pink peppercorn dark chocol jasmin aroma sweet savori structur engag bright acid plush syrupi mouthfeel short finish lead dri apricot dark chocol follow long jasmin pink peppercorn opul kenya carri spice note floral pepperi balanc coffe deep sweet,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
brazil-recreio-selectivo,9.0,8.0,8.0,9.0,0,richli sweet nut tone baker chocol hazelnut butter pear agav syrup fresh cut fir aroma sweet tone structur brisk acid satini smooth mouthfeel chocol nut tone long reson finish friendli richli nut tone brazil bit reminisc nutella pleas note fresh cut fir pear throughout,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ethiopia-worka-2,9.0,8.0,9.0,9.0,0,delic floral fruit tone honeysuckl honeydew melon lemon verbena roast cacao nib frankincens aroma sweet tart structur play bright acid full satini mouthfeel richli sweet finish consolid cocoa tone honeysuckl melon balanc richli floral natur process ethiopia redol crispli sweet fruit tone throughout,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
guatemala-hunapu,9.0,8.0,9.0,9.0,0,deepli sweet rich tone apricot baker chocol honeysuckl oak agav syrup aroma sweet structur brisk acid full syrupi mouthfeel finish consolid apricot baker chocol hint honeysuckl impress sweet complic brisk edg big bodi apricot cocoa tone guatemala,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ethiopia-banko-dhadhato-washed,9.0,8.0,9.0,9.0,0,delic opul honey lemon blossom cocoa fresh pipe tobacco hint roast nut aroma sweet gentli crisp structur buoyant almost levit mouthfeel quietli reson cocoa tone finish classic version yirgacheff seduct flower soft citru cocoa,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
kenya-rugeto-peaberry,9.0,8.0,8.0,9.0,0,richli sweet spice tone roast cacao nib tamarind tangerin zest freesia like flower almond aroma sweet tart structur juici acid crisp satini mouthfeel reson finish center note cocoa tone tamarind freesia balanc engag kenya high tone spici floral delic cocoa note,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gayo-aceh-sumatra,9.0,8.0,8.0,9.0,0,richli sweet spici tobacco tone pipe tobacco almond brittl ginger blossom mango roast cacao nib aroma sweet savori structur gentl round acid crisp satini mouthfeel finish reson vanilla tone pipe tobacco ginger blossom express reson spice tone floral sweetli savori pipe tobacco offer rich throughlin,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kenya-karuthi-aa,9.0,9.0,9.0,9.0,0,complex layer spice tone coconut blackberri ginger blossom wild honey dark chocol aroma structur sweet tart savori balanc juici bright acid plush syrupi mouthfeel long reson finish center around berri coconut support ginger blossom chocol big lavishli complex high tone kenya aliv berri tropic fruit spici floral deep chocol,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kenya-nyeri-nudurutu-factory-ab,9.0,8.0,9.0,9.0,0,bright richli sweet savori red currant hop flower fresh cut cedar roast cacao nib almond brittl aroma richli bittersweet structur reson high tone acid viscou satini mouthfeel linger finish lead red currant almond brittl short settl cacao nib hop flower long harmoni kenya grace integr sweet savori bright bitter vibrant balanc,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ethiopia-kochere-washed-saona-lot,9.0,9.0,9.0,9.0,0,high tone richli sweet tart apricot wild honey sandalwood roast cacao nib lilac aroma sweetli tart structur vibrant juici acid plush syrupi mouthfeel finish reson aroma flavor note lead apricot lilac short cocoa tone sandalwood long sustain deep honeyish sweet dynam engag classic wash ethiopia propel sweet floral juici fruit note,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ethiopia-guji-natural-dasaya-se-1,9.0,8.0,9.0,9.0,0,elegantli fruit tone chocolati dark chocol dri fig oak narcissu like flower molass aroma crispli sweet structur balanc vibrant acid full syrupi mouthfeel finish consolid note dri fig molass support rich dark chocol cleanli seduct fruit forward richli chocol tone natur process ethiopia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
auromar-geisha-natural-2,9.0,8.0,9.0,9.0,0,cleanli fruit tone delic rich rum cordial orang zest coconut plum cedar aroma sweet tone structur gentl round acid plump satini smooth mouthfeel invit finish lead coconut plum short note cedar rum cordial return long fruit driven natur process geisha engag cleanli cordial like fruit ferment suggest throughout,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
holiday-blend-25,9.0,8.0,9.0,9.0,0,delic sweetli savori red currant honeysuckl roast cacao nib agav syrup eucalyptu aroma live acid lift sweet savori structur full syrupi mouthfeel richli dri finish consolid note red currant eucalyptu cacao nib richli aromat blend ethiopia coffe wash natur process deliv complex packag bright savori flower pungent fruit herb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kith-kin,9.0,8.0,8.0,9.0,0,pungent sweet deepli express gooseberri sandalwood narcissu like flower mapl syrup baker chocol aroma sweet structur savori reson crisp velveti mouthfeel long quiet finish flavor satur fine winteri ethiopia kenya blend name bond form within beyond famili deep rich sweet savori,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
el-salvador-pacamara-3,9.0,8.0,8.0,9.0,0,fruit forward crispli sweet peach grapefruit zest hazelnut molass oak aroma savori sweet structur round gentl acid full satini mouthfeel reson finish center around note peach grapefruit zest oak wash process pacamara lead bright fruit note balanc bittersweet citru zest aromat wood,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
guji-oraga-tabe,9.0,8.0,8.0,9.0,0,rich tone crispli sweet narcissu plum cedar cashew butter honey aroma sweet tart structur soft acid satini smooth mouthfeel finish reson plum narcissu note short consolid cashew cedar long fine ethiopia wet process balanc engag fruit sweet floral throughlin,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
baru-gesha,9.0,9.0,9.0,10.0,0,elegantli rich decad fruit tone dark chocol raspberri liqueur frankincens freesia like flower almond brittl aroma deepli sweet structur vibrant acid plush syrupi mouthfeel reson finish long satur flavor aroma knockout fruit bomb gesha process nineti plu proprietari hot ferment method design intensifi sweet,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
flowery-nekisse,9.0,9.0,9.0,9.0,0,rich tone resonantli floral wisteria myrrh almond nougat lemon curd dri cherri aroma sweetli tart structur zesti bright acid full syrupi mouthfeel finish lead tart lemon curd cherri note follow deep wisteria undercurr almond floral driven natur process ethiopia geisha invok stroll wisteria vine tart fruit sweet nut tone provid support balanc,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
colombia-el-obraje-gesha,9.0,8.0,9.0,9.0,0,complex multi facet spice tone dahlia like flower bergamot almond vanilla roast cacao nib aroma sweetli tart structur balanc bright acid delic silki smooth mouthfeel bergamot vanilla tone cocoa carri quiet balanc finish layer upon layer spici floral fruit note reson natur process gesha colombia,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
holiday-sweet-blend,9.0,8.0,9.0,9.0,0,balanc richli sweet tart savori fine musk dri hibiscu flower periqu ferment pipe tobacco candi cap mushroom apricot aroma sweet tart savori structur punchi acid lightli creami viscou mouthfeel rich tone finish center around apricot umami redol note akin candi cap mushroom highest rate holiday blend dynam spirit origin coffe sweet tart savori tendenc harmoni balanc organ fair trade certifi packag gift bag origin art label,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
camilina-geisha,9.0,8.0,9.0,9.0,0,crispli floral sweetli herb tone dark chocol lavend dri pear tangerin zest frankincens aroma sweet tart structur live expans acid crisp syrupi mouthfeel finish consolid pretti note lavend dark chocol hint tangerin zest wash panama geisha classic high tone confid paradox crisp richli syrupi,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
mama-cata-geisha-washed,9.0,8.0,9.0,9.0,0,crisp yet sweet delic intric lavend lemon zest appl walnut fresh pipe tobacco aroma structur massiv sweet gentli tart light velveti live mouthfeel appl lemon fresh tobacco note satur quiet lightli dri finish delic yet extravag rendit great geisha profil,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
panama-finca-lerida-geisha-black-honey,9.0,8.0,9.0,9.0,0,big round deepli pungent layer fragrant cedar lavend baker chocol concord grape hint mace aroma bittersweet rich structur fat plush mouthfeel dri edg concord grape cedar domin continu pungent quit sweet finish grapey sweet work complex cedari lavend tone pungenc distinguish intrigu black honey process version great geisha,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
panama-finca-lerida-geisha-washed,9.0,8.0,8.0,9.0,0,crisp delic intric floral spice tone jasmin walnut pipe tobacco sandalwood ripe peach hint lime zest aroma brisk vivaci structur light silki mouthfeel flavor layer ring jasmin tone gentli dri finish anoth essay delic lush extravag aromat origin great geisha varieti,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
wei-rong-blend,9.0,9.0,8.0,9.0,0,crispli delic yet resonantli deep blackberri tea rose clover flower grapefruit zest musk aroma structur intens tart yet sweet slight deepen savori edg light silki mouthfeel superb finish sweet flavor satur long intact aromat structur blender art finest origin complet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ethiopia-kayon-mountain-5,9.0,8.0,9.0,9.0,0,delic sweet tart cocoa tone roast cacao nib lemon zest narcissu mango frankincens aroma intric sweet high tone bright juici acid lush syrupi mouthfeel richli sweet finish consolid cocoa tone mango support note frankincens classic natur process ethiopia balanc driven fruit floral tone eleg cocoa throughlin,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
ethiopia-reko-2,8.0,8.0,8.0,9.0,0,crispli sweet tart apricot sandalwood mapl syrup orang zest freesia like flower aroma sweet tart structur brisk acid satini smooth mouthfeel finish quietli flavor satur lead note apricot sandalwood high tone wet process ethiopia balanc vivac,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
organic-mocha-java-espresso,8.0,8.0,8.0,8.0,1,evalu espresso sweetli roast tone chocolati dark chocol raisin gentli scorch fir almond hint lush lili like flower aroma small creami mouthfeel crisp richli dri finish park milk note dark chocol lead way support raisin smoki aromat wood friendli darker roast espresso blend satisfi dark chocol raisini dri fruit tone throughout,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
100-arabica-freeze-dried-colombian-instant-coffee,7.0,8.0,8.0,8.0,0,evalu proport gram instant coffe powder mix ounc ml hot water caramel tone richli sweet dark caramel magnolia like flower cedar baker chocol hint apricot aroma sweet tone structur brisk acid smooth mouthfeel finish crispli sweet reson linger note caramel apricot appeal colombia coffe instant format larg preserv charact green coffe,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perla-del-otun,8.0,8.0,8.0,8.0,1,crispli sweet balanc baker chocol mapl syrup gardenia cherri cedar aroma sweet tart structur brisk acid velveti mouthfeel finish consolid baker chocol gardenia hint cedar sweet tone engag colombia crisp baker chocol throughlin,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
decaf-classic-espresso,8.0,9.0,8.0,8.0,1,evalu espresso richli sweet cocoa tone cocoa powder date magnolia molass oak aroma small satini smooth mouthfeel reson chocolati finish note magnolia oak part milk floral tone amplifi cocoa note integr roasti sweet aromat wood solid straightfoward decaf espresso colombia especi chocolati cappuccino scale milk,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
colombia-el-sauce,8.0,8.0,8.0,8.0,0,richli sweet floral tone narcissu roast cacao nib agav syrup fir red appl aroma sweet tone structur gentl round acid smooth satini mouthfeel gentli dri finish center around roast cacao nib narcissu like floral note crispli sweet colombia driven engag floral note hint red appl fresh cut fir,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kiunyu-peaberry,9.0,8.0,9.0,9.0,0,spice tone deep reson dri persimmon periqu ferment tobacco cinnamon dark chocol gardenia like flower aroma sweet savori structur engagingli citrusi acid plush syrupi mouthfeel finish lead dri persimmon dark chocol follow pipe tobacco cinnamon rich tone kenya carri pleas savori note support balanc coffe deep sweet,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
el-aguila-sl28-el-salvador,8.0,8.0,9.0,9.0,0,delic pungent floral narcissu like flower baker chocol tart black currant oak roast pistachio aroma crispli sweet lightli savori structur plump lightli syrupi mouthfeel flower cocoa like chocol pistachio particular carri gentli dri finish subtl persuas version resonantli pungent berri flower kenya style,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
nano-challa,9.0,8.0,9.0,9.0,0,delic sweetli tart lemon drop roast cacao nib pink peppercorn almond orang zest aroma sweet tart structur bright juici acid satini smooth mouthfeel reson finish consolid note lemon drop cocoa hint pink peppercorn spirit high tone ethiopia vivaci floral spice note throughout,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
costa-rica-volcan-azul-single-origin-espresso,9.0,8.0,8.0,9.0,1,evalu espresso crisp chocol tone cedari dark chocol pecan gentli scorch cedar ripe banana tangerin zest aroma small lightli syrupi mouthfeel roundli bittersweet finish chocol cedar tangerin cedar domin part milk quietli envelop chocol ripe banana moder dark roast dri fruit costa rica net quietli classic espresso profil chocolati roast tone cedari depth zingi hint tangerin,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
kona-mocca-2,9.0,9.0,9.0,10.0,0,enchantingli rich intens floral uniqu dri black cherri tea rose cognac chocol fudg gentli scorch almond wood aroma deepli sweet savori structur crisp appl tone acid plump syrupi mouthfeel except long finish carri aroma flavor note plu umami intrigu akin candi bacon marvel coffe invit esoter chimer ground,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
kibugu-kenya-2,9.0,9.0,9.0,9.0,0,eleg complexli sweet umami tone narcissu ripe tomato date almond butter cocoa powder aroma sweet savori structur bright juici acid full syrupi mouthfeel long resound finish carri complex promis classic kenya umami intrigu balanc rich sweet multi layer paradox yet complet,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
poseidon-blend-espresso,9.0,9.0,9.0,9.0,1,evalu espresso richli floral tone eleg balanc watermelon pink grapefruit zest nutella sandalwood tiger lili aroma small syrupi smooth mouthfeel long flavor satur finish sweet cocoa hazelnut tone elev part milk continu floral reson deftli blend espresso good straight shot milk rich high tone exuber fruit flower,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
kenya-gikirima-kibugu,9.0,8.0,9.0,9.0,0,complexli layer deepli sweet savori watermelon fresh cut pine roast cacao nib lemon verbena freesia like flower aroma sweet savori structur juici bright acid plush syrupi mouthfeel reson finish consolid note watermelon cacao nib support rich fresh cut pine deepli sweet richli savori kenya pleasingli intens note aromat wood think fresh pine forest underneath melon cocoa tone,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kenya-aa-top-gachatha,9.0,8.0,8.0,9.0,0,crispli sweet impress balanc black currant mapl syrup almond cedar lilac like flower aroma sweet tart structur juici vibrant acid velveti smooth mouthfeel finish consolid black currant mapl syrup undercurr hazelnut cedar classic balanc kenya pretti fruit floral tone bright engag acid,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ethiopia-yirgacheffe-g1-chachale-natural,9.0,8.0,9.0,9.0,0,richli fruit tone ripe blueberri dark chocol oak agav syrup rhododendron like flower aroma sweet tone structur round acid full syrupi mouthfeel reson finish center around deep blueberri chocol note hint oak cleanli fruit forward natur process ethiopia redol ripe berri note,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
quejina-guatemala,8.0,8.0,8.0,8.0,0,crisp sweetli nut tone hazelnut butter baker chocol cherri cedar freesia like flower aroma sweet tone structur brisk acid velveti smooth mouthfeel sweet finish consolid invit nutti chocol short spice tone floral long friendli straightforward pleas guatemala,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
christmas-blend-7,8.0,8.0,8.0,8.0,0,richli sweet cocoa spice tone dark chocol gentli scorch sandalwood orang zest cinnamon gardenia aroma sweet tart structur mild round acid satini mouthfeel spice tone chocolati finish chocolati coffe fragrant spice note invok winter holiday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
thanksgiving-blend-3,8.0,8.0,8.0,8.0,0,sweetli roast tone chocolati baker chocol gentli scorch cedar almond raisin molass aroma sweet tone structur gentl acid creami smooth mouthfeel linger finish lead note raisin almond short rich cedar tone long chocol throughout pleas chocol first holiday blend prefer adeptli darker roast coffe,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
elida-estate-geisha-natural-dragonfly-reserve,9.0,9.0,9.0,9.0,0,delic vibrant richli tart passionfruit roast cacao nib sandalwood star jasmin bergamot zest aroma sweet tart structur juici bright acid buoyant silki mouthfeel long flavor satur finish redol note passionfruit star jasmin cacoa nib exuber fruit floral driven natur process geisha vibrant engag intrigu spice tone complic,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
costa-rica-geisha-honey-coe-2018-2nd-place,9.0,8.0,9.0,9.0,0,rich high tone sweetli herbac lemon verbena roast almond black cherri narcissu black peppercorn aroma savori sweet structur high tone live acid plush syrupi mouthfeel finish lead black cherri narcissu short note almond peppercorn long undercurr lemon verbena throughout complex nuanc costa rica geisha sweetli herb tone deepli floral lift note enliven peppercorn,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
guatemala-pacamara-natural,9.0,9.0,9.0,9.0,0,complex sweetli tart spice tone peach fine musk toffe macadamia nut roast cacao nib aroma sweet tart structur vibrant juici acid plush syrupi mouthfeel eleg linger finish center around note peach toffe fine musk cocoa tone multi layer redol fruit sweet nut pungent floral anim bright engag acid,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
la-providencia-guatemala-maragogype,9.0,9.0,9.0,9.0,0,complexli layer sweet savori depth wisteria hop flower candi grapefruit zest black cherri pistachio butter aroma sweetli savori structur gentl round acid viscou syrupi mouthfeel flavor satur finish mirror carri coffe savori sweet reson nuanc deep maragogyp guatemala intens floral tone simultan sweet savori,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
finca-insul-guatemala-pacamara,9.0,8.0,8.0,9.0,0,delic sweetli spice tone salt caramel black cherri cinnamon roast cashew clover flower aroma sweet savori structur high tone juici acid fruit tone finish hint cinnamon clover flower balanc richli sweet coffe driven note fruit punctuat spice tone throughout,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
cuxinales-guatemala,9.0,8.0,9.0,9.0,0,balanc deepli rich sweet butterscotch sandalwood dark chocol dri apricot lantana aroma appeal bittersweet structur brisk acid syrupi smooth mouthfeel finish consolid note dark chocol butterscotch deep chocolati crispli sweet fruit floral tone,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
nicaragua-la-benedicion-pacamara,9.0,8.0,9.0,9.0,0,fruit tone richli sweet raspberri liqueur sandalwood roast cashew honeysuckl orang zest aroma deepli sweet structur high tone juici acid full satini smooth mouthfeel note cashew honeysuckl lead short finish sandalwood hint raspberri liqueur long richli fruit forward natur process nicaragua pacamara pleas sweet ferment edg read berri liqueur,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
nicaragua-mierisch-finca-la-huella-yellow-pacamara-honey,9.0,8.0,9.0,9.0,0,crisp richli sweet tone tamarind hazelnut mapl syrup pink peppercorn narcissu like flower aroma sweetli tart structur gentl acid plush syrupi mouthfeel finish consolid note tamarind hazelnut pink peppercorn clean honey process pacamara gentli bright tart fruit sweet spice note predomin,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
el-salvador-finca-el-cerro-pacamara-black-honey,9.0,8.0,9.0,9.0,0,delic crispli fruit tone concord grape almond nougat honeysuckl bay leaf roast cacao nib aroma sweet tart structur round acid full syrupi mouthfeel note concord grape take center stage finish support sweet floral nut tone unusu sweet richli floral hint sweet herbac,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
nicaragua-mierisch-finca-la-huella-yellow-pacamara-honey-2,8.0,8.0,9.0,9.0,0,aromat subtl sweetli tart pie cherri roast cacao nib pistachio thyme freesia like flower aroma sweetli tart structur juici vibrant acid viscou syrupi acid finish consolid note cocoa tone pie cherri freesia intrigu origin pacamara pretti hint sweet herb alongsid bright fruit note,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
